Tasks,QueueWait,ResponseTime,Overload,Urgency,SelectedScheduler
5000.0,4373.16,4682.74,0.0,1.071,GA
10000.0,8757.92,9012.81,0.0,1.029,GA
15000.0,12216.98,13850.45,0.0,1.134,GA
20000.0,16144.66,17700.69,0.0,1.096,GA
25000.0,20176.99,21420.43,0.0,1.062,GA
30000.0,22643.23,23139.24,0.0,1.022,GA
35000.0,25461.39,27999.49,0.0,1.1,GA
40000.0,29429.05,30378.51,0.0,1.032,GA
45000.0,32455.72,32677.88,0.0,1.007,GA
50000.0,32877.59,35887.43,0.0,1.092,GA
55000.0,34036.6,37050.13,1.0,1.089,GA
60000.0,38399.63,37346.58,1.0,0.973,RR
65000.0,37215.0,38875.26,1.0,1.045,GA
70000.0,37792.14,39454.47,1.0,1.044,GA
75000.0,41117.85,39870.37,1.0,0.97,RR
80000.0,40595.61,40946.13,1.0,1.009,GA
85000.0,41667.86,40831.69,1.0,0.98,RR
90000.0,41309.46,42800.7,1.0,1.036,GA
95000.0,39070.1,42047.26,1.0,1.076,GA
100000.0,40243.96,43426.74,1.0,1.079,GA
