Generation,MutationFactor,Tasks,QueueWait,ResponseTime,EnergyPerTask,OffloadPercentage,Overloads,Cost,SLA,Load,Throughput,Fitness,Algorithm,Elite
1,0.9,5000.0,4373.16,4682.74,0.171,14.13,4628,0.855,4682.74,4373.16,1.0678,2529.1257,DE,True
2,0.874,10000.0,8757.92,9012.81,0.165,11.35,9803,0.825,9012.81,8757.92,1.1095,4918.8578,DE,False
3,0.847,15000.0,12216.98,13850.45,0.162,13.26,14009,0.81,13850.45,12216.98,1.083,7372.7726,DE,False
4,0.821,20000.0,16144.66,17700.69,0.16,10.5,19434,0.8,17700.69,16144.66,1.1299,9502.014,DE,False
5,0.795,25000.0,20176.99,21420.43,0.152,13.99,23733,0.76,21420.43,20176.99,1.1671,11594.7482,DE,False
6,0.768,30000.0,22643.23,23139.24,0.146,14.1,27759,0.73,23139.24,22643.23,1.2965,12652.1896,DE,False
7,0.742,35000.0,25461.39,27999.49,0.144,12.58,34498,0.72,27999.49,25461.39,1.25,15019.0163,DE,False
8,0.716,40000.0,29429.05,30378.51,0.135,14.55,37523,0.675,30378.51,29429.05,1.3167,16565.7581,DE,False
9,0.689,45000.0,32455.72,32677.88,0.133,12.71,44343,0.665,32677.88,32455.72,1.3771,17939.4986,DE,False
10,0.663,50000.0,32877.59,35887.43,0.129,14.41,46634,0.645,35887.43,32877.59,1.3932,19286.5937,DE,False
11,0.637,55000.0,34036.6,37050.13,0.119,10.63,53862,0.595,37050.13,34036.6,1.4845,19925.5066,DE,False
12,0.611,60000.0,38399.63,37346.58,0.113,14.33,56305,0.565,37346.58,38399.63,1.6066,20698.5232,DE,False
13,0.584,65000.0,37215.0,38875.26,0.114,10.98,61267,0.57,38875.26,37215.0,1.672,21132.2951,DE,False
14,0.558,70000.0,37792.14,39454.47,0.104,13.25,68346,0.52,39454.47,37792.14,1.7742,21450.5304,DE,False
15,0.532,75000.0,41117.85,39870.37,0.1,12.23,69933,0.5,39870.37,41117.85,1.8811,22115.7324,DE,False
16,0.505,80000.0,40595.61,40946.13,0.097,13.86,76204,0.485,40946.13,40595.61,1.9538,22467.6903,DE,False
17,0.479,85000.0,41667.86,40831.69,0.089,10.4,78761,0.445,40831.69,41667.86,2.0817,22582.7314,DE,False
18,0.453,90000.0,41309.46,42800.7,0.088,9.69,84714,0.44,42800.7,41309.46,2.1028,23316.5723,DE,False
19,0.426,95000.0,39070.1,42047.26,0.079,10.31,93403,0.395,42047.26,39070.1,2.2594,22679.2681,DE,False
20,0.4,100000.0,40243.96,43426.74,0.077,13.84,97252,0.385,43426.74,40243.96,2.3027,23407.1329,DE,False
