Tasks,QueueWait,ResponseTime,Scheduler,FeedbackAction
5000.0,4373.16,4682.74,GA,Maintain Current Scheduling
10000.0,8757.92,9012.81,GA,Maintain Current Scheduling
15000.0,12216.98,13850.45,GA,Increase Edge Resources
20000.0,16144.66,17700.69,GA,Maintain Current Scheduling
25000.0,20176.99,21420.43,GA,Maintain Current Scheduling
30000.0,22643.23,23139.24,GA,Maintain Current Scheduling
35000.0,25461.39,27999.49,GA,Maintain Current Scheduling
40000.0,29429.05,30378.51,GA,Maintain Current Scheduling
45000.0,32455.72,32677.88,GA,Maintain Current Scheduling
50000.0,32877.59,35887.43,GA,Maintain Current Scheduling
55000.0,34036.6,37050.13,GA,Maintain Current Scheduling
60000.0,38399.63,37346.58,RR,Switch to GA Scheduling
65000.0,37215.0,38875.26,GA,Maintain Current Scheduling
70000.0,37792.14,39454.47,GA,Maintain Current Scheduling
75000.0,41117.85,39870.37,RR,Switch to GA Scheduling
80000.0,40595.61,40946.13,GA,Maintain Current Scheduling
85000.0,41667.86,40831.69,RR,Switch to GA Scheduling
90000.0,41309.46,42800.7,GA,Maintain Current Scheduling
95000.0,39070.1,42047.26,GA,Maintain Current Scheduling
100000.0,40243.96,43426.74,GA,Maintain Current Scheduling
