Tasks,DE_ResponseTime,PSO_ResponseTime,WAJOS_ResponseTime,DE_Energy,PSO_Energy,WAJOS_Energy,DE_Offloading,PSO_Offloading,WAJOS_Offloading,DE_Overloads,PSO_Overloads,WAJOS_Overloads,LION_ResponseTime,LION_Energy,LION_Offloading,LION_Overloads
5000.0,4682.74,4775.47,4682.74,0.171,0.186,0.171,14.13,15.74,14.13,4628,4559,4628,4992.43,0.188,13.69,4642
10000.0,9012.81,10741.36,9012.81,0.165,0.187,0.165,11.35,14.65,11.35,9803,9672,9803,9752.41,0.185,11.22,8991
15000.0,13850.45,15890.51,13850.45,0.162,0.185,0.162,13.26,11.23,13.26,14009,13600,14009,14019.17,0.182,12.23,14253
20000.0,17700.69,20505.18,17700.69,0.16,0.189,0.16,10.5,12.64,10.5,19434,19573,19434,18401.85,0.184,11.93,17873
25000.0,21420.43,25325.48,21420.43,0.152,0.192,0.152,13.99,15.96,13.99,23733,22642,23733,23900.75,0.183,11.07,22887
30000.0,23139.24,30316.97,23139.24,0.146,0.188,0.146,14.1,12.15,14.1,27759,28812,27759,30005.37,0.185,15.78,28380
35000.0,27999.49,37515.04,27999.49,0.144,0.193,0.144,12.58,12.71,12.58,34498,32463,34498,35396.88,0.182,16.67,32525
40000.0,30378.51,39207.36,30378.51,0.135,0.189,0.135,14.55,13.93,14.55,37523,38903,37523,38555.54,0.189,13.01,37093
45000.0,32677.88,44448.43,32677.88,0.133,0.192,0.133,12.71,13.41,12.71,44343,42761,44343,44375.3,0.188,16.61,42344
50000.0,35887.43,50789.56,35887.43,0.129,0.188,0.129,14.41,10.87,14.41,46634,47794,46634,49521.08,0.18,14.24,45061
55000.0,37050.13,54134.4,37050.13,0.119,0.187,0.119,10.63,15.0,10.63,53862,52320,53862,50960.91,0.188,14.84,52134
60000.0,37346.58,62786.78,37346.58,0.113,0.192,0.113,14.33,12.94,14.33,56305,56275,56305,57886.93,0.18,14.67,54236
65000.0,38875.26,67916.16,38875.26,0.114,0.185,0.114,10.98,11.78,10.98,61267,61791,61267,65333.04,0.189,16.34,59074
70000.0,39454.47,69731.98,39454.47,0.104,0.188,0.104,13.25,14.88,13.25,68346,67432,68346,68895.34,0.184,16.59,67086
75000.0,39870.37,77102.2,39870.37,0.1,0.187,0.1,12.23,15.05,12.23,69933,69628,69933,71066.73,0.184,14.19,68271
80000.0,40946.13,85528.8,40946.13,0.097,0.186,0.097,13.86,15.77,13.86,76204,77650,76204,80490.25,0.181,11.56,72748
85000.0,40831.69,85945.78,40831.69,0.089,0.185,0.089,10.4,13.61,10.4,78761,78499,78761,87402.28,0.182,12.43,79991
90000.0,42800.7,86603.95,42800.7,0.088,0.194,0.088,9.69,11.07,9.69,84714,86525,84714,90950.5,0.187,11.53,80849
95000.0,42047.26,91846.18,42047.26,0.079,0.186,0.079,10.31,15.68,10.31,93403,91723,93403,94515.77,0.185,12.54,89690
100000.0,43426.74,100787.15,43426.74,0.077,0.187,0.077,13.84,13.1,13.84,97252,90245,97252,100254.06,0.19,15.68,95818
