Tasks,QueueWait,ResponseTime,EnergyPerTask,OffloadPercentage,Overloads,Cost,SLA,Load,Throughput,Fitness,Algorithm
5000.0,4728.0,4992.43,0.188,13.69,4642,0.94,4992.43,4728.0,1.0015,2706.2504,LION
10000.0,8874.61,9752.41,0.185,11.22,8991,0.925,9752.41,8874.61,1.0254,5232.2287,LION
15000.0,13857.15,14019.17,0.182,12.23,14253,0.91,14019.17,13857.15,1.07,7686.3064,LION
20000.0,17967.41,18401.85,0.184,11.93,17873,0.92,18401.85,17967.41,1.0868,10055.9176,LION
25000.0,24290.57,23900.75,0.183,11.07,22887,0.915,23900.75,24290.57,1.046,13203.9548,LION
30000.0,27990.55,30005.37,0.185,15.78,28380,0.925,30005.37,27990.55,0.9998,16200.8063,LION
35000.0,33933.97,35396.88,0.182,16.67,32525,0.91,35396.88,33933.97,0.9888,19248.9215,LION
40000.0,38171.44,38555.54,0.189,13.01,37093,0.945,38555.54,38171.44,1.0375,21148.0078,LION
45000.0,42543.57,44375.3,0.188,16.61,42344,0.94,44375.3,42543.57,1.0141,24131.7327,LION
50000.0,47533.18,49521.08,0.18,14.24,45061,0.9,49521.08,47533.18,1.0097,26938.479,LION
55000.0,48699.81,50960.91,0.188,14.84,52134,0.94,50960.91,48699.81,1.0793,27689.4062,LION
60000.0,58086.92,57886.93,0.18,14.67,54236,0.9,57886.93,58086.92,1.0365,31867.8773,LION
65000.0,60429.68,65333.04,0.189,16.34,59074,0.945,65333.04,60429.68,0.9949,35197.7481,LION
70000.0,63559.06,68895.34,0.184,16.59,67086,0.92,68895.34,63559.06,1.016,37092.0682,LION
75000.0,68997.72,71066.73,0.184,14.19,68271,0.92,71066.73,68997.72,1.0553,38776.4193,LION
80000.0,71316.99,80490.25,0.181,11.56,72748,0.905,80490.25,71316.99,0.9939,42893.7211,LION
85000.0,81207.18,87402.28,0.182,12.43,79991,0.91,87402.28,81207.18,0.9725,47142.0646,LION
90000.0,87860.15,90950.5,0.187,11.53,80849,0.935,90950.5,87860.15,0.9895,49559.3012,LION
95000.0,88211.78,94515.77,0.185,12.54,89690,0.925,94515.77,88211.78,1.0051,51038.1502,LION
100000.0,88741.21,100254.06,0.19,15.68,95818,0.95,100254.06,88741.21,0.9975,53412.8863,LION
