Tasks,QueueWait,ResponseTime,EnergyPerTask,OffloadPercentage,Overloads,Cost,SLA,Load,Throughput,Fitness,Algorithm
5000.0,4670.95,4775.47,0.186,15.74,4559,0.93,4775.47,4670.95,1.047,2610.9025,PSO
10000.0,9880.4,10741.36,0.187,14.65,9672,0.935,10741.36,9880.4,0.931,5778.6886,PSO
15000.0,13637.79,15890.51,0.185,11.23,13600,0.925,15890.51,13637.79,0.944,8401.9539,PSO
20000.0,19899.36,20505.18,0.189,12.64,19573,0.945,20505.18,19899.36,0.9754,11187.058,PSO
25000.0,23684.06,25325.48,0.192,15.96,22642,0.96,25325.48,23684.06,0.9871,13682.8847,PSO
30000.0,29525.02,30316.97,0.188,12.15,28812,0.94,30316.97,29525.02,0.9895,16555.6206,PSO
35000.0,35397.69,37515.04,0.193,12.71,32463,0.965,37515.04,35397.69,0.933,20315.7596,PSO
40000.0,39317.87,39207.36,0.189,13.93,38903,0.945,39207.36,39317.87,1.0202,21580.702,PSO
45000.0,43106.41,44448.43,0.192,13.41,42761,0.96,44448.43,43106.41,1.0124,24245.4147,PSO
50000.0,47397.55,50789.56,0.188,10.87,47794,0.94,50789.56,47397.55,0.9845,27425.5367,PSO
55000.0,50855.18,54134.4,0.187,15.0,52320,0.935,54134.4,50855.18,1.016,29282.1131,PSO
60000.0,58109.4,62786.78,0.192,12.94,56275,0.96,62786.78,58109.4,0.9556,33831.2088,PSO
65000.0,59076.36,67916.16,0.185,11.78,61791,0.925,67916.16,59076.36,0.9571,36027.998,PSO
70000.0,71226.55,69731.98,0.188,14.88,67432,0.94,69731.98,71226.55,1.0038,38576.8527,PSO
75000.0,74392.12,77102.2,0.187,15.05,69628,0.935,77102.2,74392.12,0.9727,41999.7784,PSO
80000.0,80459.57,85528.8,0.186,15.77,77650,0.93,85528.8,80459.57,0.9354,46280.5387,PSO
85000.0,82003.36,85945.78,0.185,13.61,78499,0.925,85945.78,82003.36,0.989,46678.8929,PSO
90000.0,84242.56,86603.95,0.194,11.07,86525,0.97,86603.95,84242.56,1.0392,47278.0444,PSO
95000.0,85916.56,91846.18,0.186,15.68,91723,0.93,91846.18,85916.56,1.0343,49626.0293,PSO
100000.0,99924.68,100787.15,0.187,13.1,90245,0.935,100787.15,99924.68,0.9922,55303.6404,PSO
