Tasks,TaskSize_MB,CPU_Cycles,Memory_MB,Arrival_Time,Deadline
5000,2.01,1572,2232,43,264
10000,8.08,3119,3114,21,434
15000,4.6,3178,612,26,433
20000,7.82,3547,1759,19,225
25000,4.3,2422,3837,82,333
30000,8.32,2793,553,34,177
35000,5.54,2776,3353,28,272
40000,5.12,1877,2204,40,341
45000,9.67,3113,1826,6,231
50000,3.88,1707,892,40,471
55000,6.01,4613,1051,66,246
60000,1.32,1234,1176,11,345
65000,7.32,4186,4001,91,111
70000,1.97,2335,2948,93,421
75000,8.57,1851,942,71,374
80000,3.82,1344,3741,10,345
85000,5.95,1432,2670,52,201
90000,9.18,1592,2159,64,248
95000,5.15,1820,3400,27,475
100000,9.94,1663,3098,14,407
